아파트,거래일자,법정동,도로명,층,전용면적,건축년도,거래금액,시군구명,읍면동명,건물명,경도,위도,가까운역,가까운역과의 거리
동서그랜드맨션,2019-10-23,면목동,겸재로,4,131.34,1993,43000,중랑구,면목동,동서그랜드맨션,127.0758559,37.5888168,중랑역[경의중앙선],0.6834765932120718
킴스아파트,2019-10-25,면목동,면목로,4,38.91,2018,28900,중랑구,면목동,킴스아파트,127.0847343,37.59297209,상봉역[7호선],0.3080993063689613
면목동2차미소지움아파트,2019-10-29,면목동,용마산로86길,12,78.56,2005,45400,중랑구,면목동,면목동2차미소지움아파트,127.0941704,37.58964143,면목역[7호선],0.5945003108820323
면목동2차미소지움아파트,2019-12-04,면목동,용마산로86길,4,81.96,2005,45500,중랑구,면목동,면목동2차미소지움아파트,127.0941704,37.58964143,면목역[7호선],0.5945003108820323
면목동2차미소지움아파트,2019-12-26,면목동,용마산로86길,3,82.28,2005,45500,중랑구,면목동,면목동2차미소지움아파트,127.0941704,37.58964143,면목역[7호선],0.5945003108820323
상봉 듀오트리스,2019-10-03,상봉동,상봉로,28,131.8,2016,91000,중랑구,상봉동,상봉 듀오트리스,127.0903122,37.60032701,망우역[경춘선],0.12929543737518362
상봉 듀오트리스,2019-10-12,상봉동,상봉로,5,131.8,2016,85000,중랑구,상봉동,상봉 듀오트리스,127.0903122,37.60032701,망우역[경춘선],0.12929543737518362
상봉 듀오트리스,2019-10-30,상봉동,상봉로,9,131.8,2016,90000,중랑구,상봉동,상봉 듀오트리스,127.0903122,37.60032701,망우역[경춘선],0.12929543737518362
상봉 듀오트리스,2019-11-04,상봉동,상봉로,18,131.8,2016,93000,중랑구,상봉동,상봉 듀오트리스,127.0903122,37.60032701,망우역[경춘선],0.12929543737518362
동부아파트,2019-10-04,상봉동,신내로7가길,8,84.99,1999,54500,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-10-04,상봉동,신내로7가길,8,84.99,1999,54500,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-10-04,상봉동,신내로7가길,2,54.0,1999,38000,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-10-04,상봉동,신내로7가길,2,54.0,1999,38000,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-10-07,상봉동,신내로7가길,4,54.0,1999,39000,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-10-07,상봉동,신내로7가길,4,54.0,1999,39000,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-10-19,상봉동,신내로7가길,3,84.99,1999,50000,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-10-19,상봉동,신내로7가길,3,84.99,1999,50000,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-10-26,상봉동,신내로7가길,8,54.0,1999,40450,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-10-26,상봉동,신내로7가길,8,54.0,1999,40450,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-11-20,상봉동,신내로7가길,4,54.0,1999,39000,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-11-20,상봉동,신내로7가길,4,54.0,1999,39000,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-12-06,상봉동,신내로7가길,6,84.99,1999,54500,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-12-06,상봉동,신내로7가길,6,84.99,1999,54500,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-12-15,상봉동,신내로7가길,9,54.0,1999,42700,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-12-15,상봉동,신내로7가길,9,54.0,1999,42700,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
동부아파트,2019-12-17,상봉동,신내로7가길,1,84.99,1999,49800,중랑구,상봉동,동부아파트,127.0919301,37.60511461,망우역[경춘선],0.5702084213356343
동부아파트,2019-12-17,상봉동,신내로7가길,1,84.99,1999,49800,중랑구,상봉동,동부아파트,127.0917885,37.60509091,망우역[경춘선],0.5672981759707463
건영2차아파트,2019-10-04,상봉동,신내로7나길,15,84.96,1996,56700,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-10-05,상봉동,신내로7나길,23,84.96,1996,59300,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-10-14,상봉동,신내로7나길,13,84.96,1996,57000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-10-15,상봉동,신내로7나길,17,84.96,1996,58000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-10-23,상봉동,신내로7나길,13,84.96,1996,59000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-10-26,상봉동,신내로7나길,16,57.3,1996,44200,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-02,상봉동,신내로7나길,21,84.96,1996,57500,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-02,상봉동,신내로7나길,15,84.96,1996,59900,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-06,상봉동,신내로7나길,19,84.96,1996,57300,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-09,상봉동,신내로7나길,20,84.96,1996,57000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-10,상봉동,신내로7나길,19,57.3,1996,41950,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-12,상봉동,신내로7나길,12,84.96,1996,59500,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-13,상봉동,신내로7나길,25,84.96,1996,57000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-11-30,상봉동,신내로7나길,19,84.96,1996,59000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-10,상봉동,신내로7나길,6,84.96,1996,59000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-11,상봉동,신내로7나길,14,74.9,1996,56000,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-11,상봉동,신내로7나길,11,84.96,1996,60900,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-14,상봉동,신내로7나길,13,84.96,1996,62500,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-17,상봉동,신내로7나길,3,84.96,1996,56800,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
건영2차아파트,2019-12-28,상봉동,신내로7나길,16,84.96,1996,60200,중랑구,상봉동,건영2차아파트,127.092903,37.60411665,망우역[경춘선],0.47068093303270253
더클래스,2019-10-06,상봉동,상봉로23길,14,27.16,2019,26800,중랑구,상봉동,더클래스,127.0890756,37.59695004,상봉역[경춘선],0.2828062877250377
더클래스,2019-12-27,상봉동,상봉로23길,12,28.25,2019,27800,중랑구,상봉동,더클래스,127.0890756,37.59695004,상봉역[경춘선],0.2828062877250377
우정아파트,2019-10-17,상봉동,상봉중앙로1다길,5,57.189,2002,49000,중랑구,상봉동,우정아파트,127.086629,37.60187418,망우역[경춘선],0.4947839086700907
우정아파트,2019-10-23,상봉동,상봉중앙로1다길,24,57.189,2002,49300,중랑구,상봉동,우정아파트,127.086629,37.60187418,망우역[경춘선],0.4947839086700907
우정아파트,2019-11-08,상봉동,상봉중앙로1다길,18,57.189,2002,53000,중랑구,상봉동,우정아파트,127.086629,37.60187418,망우역[경춘선],0.4947839086700907
우정아파트,2019-12-21,상봉동,상봉중앙로1다길,9,110.2786,2002,71500,중랑구,상봉동,우정아파트,127.086629,37.60187418,망우역[경춘선],0.4947839086700907
건영캐스빌,2019-10-21,상봉동,상봉중앙로8길,4,84.6475,2006,64500,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
건영캐스빌,2019-10-26,상봉동,상봉중앙로8길,11,84.6475,2006,69800,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
건영캐스빌,2019-11-08,상봉동,상봉중앙로8길,5,84.6475,2006,69400,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
건영캐스빌,2019-11-11,상봉동,상봉중앙로8길,16,84.6475,2006,71000,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
건영캐스빌,2019-12-03,상봉동,상봉중앙로8길,14,84.6475,2006,70900,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
건영캐스빌,2019-12-07,상봉동,상봉중앙로8길,7,84.6475,2006,69000,중랑구,상봉동,건영캐스빌,127.0888981,37.60590862,망우역[경춘선],0.7034647965679157
금강산아파트,2019-10-28,상봉동,중랑천로10길,6,58.6,1996,23400,중랑구,상봉동,금강산아파트,127.0722046,37.59475611,중랑역[경의중앙선],0.35037477196665906
금강산아파트,2019-10-29,상봉동,중랑천로10길,3,66.54,1996,28100,중랑구,상봉동,금강산아파트,127.0722046,37.59475611,중랑역[경의중앙선],0.35037477196665906
금강산아파트,2019-11-03,상봉동,중랑천로10길,4,59.98,1996,25000,중랑구,상봉동,금강산아파트,127.0722046,37.59475611,중랑역[경의중앙선],0.35037477196665906
